code,name,descr
"ar","Arabic","Arabic"
"cs","Czech","Czech"
"da","Danish","Danish"
"de","German","German"
"en","English","English"
"es","Spanish","Spanish"
"fi","Finnish","Finnish"
"fr","French","French"
"hu","Hungarian","Hungarian"
"it","Italian","Italian"
"ja","Japanese","Japanese"
"ko","Korean","Korean"
"ms","Malay","Malay"
"nl","Dutch","Dutch"
"no","Norwegian","Norwegian"
"pl","Polish","Polish"
"pt","Portuguese","Portuguese"
"ro","Romanian","Romanian"
"ru","Russian","Russian"
"sv","Swedish","Swedish"
"th","Thai","Thai"
"tr","Turkish","Turkish"
"zh_CN","Simplified Chinese","Simplified Chinese"
"zh_TW","Traditional Chinese","Traditional Chinese"